oper_data;oper_cv;oper_corret;oper_tipo;oper_ticker;oper_qtd;oper_preco_unit;oper_valor;oper_taxas;oper_ir;oper_moeda
04/11/2016;V;MyCap;Ação;USIM5;-900;3,86;3474;0;0;BRL
10/11/2016;C;MyCap;Ação;CSNA3;100;11,3;1130;19,25;0;BRL
10/11/2016;V;MyCap;Ação;ITSA4;-400;8,73;3492;0;0;BRL
10/11/2016;C;MyCap;Ação;VALE5;100;24,3;2430;0;0;BRL
16/11/2016;C;MyCap;Ação;GOAU4;300;4,91;1473;5,57;0;BRL
17/11/2016;C;MyCap;Ação;PETR4;300;15,07;4521;19,37;0;BRL
17/11/2016;V;MyCap;Ação;VALE5;-300;22,75;6825;0;0;BRL
17/11/2016;C;MyCap;Ação;VALE5;100;22,85;2285;0;0;BRL
23/11/2016;V;MyCap;Ação;GOAU4;-300;5,29;1587;26,32;0;BRL
23/11/2016;C;MyCap;Ação;PETR4;100;15,75;1575;0;0;BRL
23/11/2016;C;MyCap;Ação;VALE5;400;24,7;9880;0;0;BRL
23/11/2016;V;MyCap;Ação;VALE5;-400;24,46;9784;0;0;BRL
24/11/2016;C;MyCap;Ação;GOAU4;300;5,82;1746;11,57;0;BRL
24/11/2016;C;MyCap;Ação;VALE5;100;25,03;2503;0;0;BRL
05/01/2017;C;MyCap;Ação;PETR4;200;15,78;3156;6,11;0;BRL
01/02/2017;C;MyCap;Ação;VALE5;100;31,33;3133;6,11;0;BRL
01/03/2017;C;MyCap;Ação;GOAU4;400;5,99;2396;5,86;0;BRL
03/04/2017;C;MyCap;Ação;ABEV3;100;18,07;1807;11,39;0;BRL
03/04/2017;C;MyCap;Ação;ITSA4;200;9,5;1900;0;0;BRL
02/05/2017;C;MyCap;Ação;CSNA3;200;7,94;1588;11,58;0;BRL
02/05/2017;C;MyCap;Ação;VALE5;100;26,74;2674;0;0;BRL
25/07/2017;C;MyCap;Ação;WEGE3;100;19,14;1914;5,71;0;BRL
01/08/2017;C;MyCap;Ação;NTCO3;100;25,08;2508;5,9;0;BRL
11/08/2017;C;MyCap;Ação;VALE3;653;30,8;20112,4;11,54;0;BRL
11/08/2017;V;MyCap;Ação;VALE5;-700;28,73;20111;0;0;BRL
15/08/2017;C;MyCap;Ação;NTCO3;100;27,04;2704;0;0;BRL
15/08/2017;C;MyCap;Ação;VALE3;47;31,16;1464,52;0;0;BRL
01/09/2017;V;MyCap;Ação;ABEV3;-100;19,92;1992;20,13;0;BRL
01/09/2017;C;MyCap;Ação;MGLU3;3072;2,27;6984;0;0;BRL
01/09/2017;V;MyCap;Ação;NTCO3;-200;29,53;5906;0;0;BRL
06/09/2017;V;MyCap;Ação;MGLU3;-3072;2,66;8159,04;15,75;0;BRL
06/09/2017;C;MyCap;Ação;NTCO3;300;29,83;8949;0;0;BRL
