rf_data;rf_oper;rf_corret;rf_tipo;rf_nome;rf_valor_deb;rf_valor_cred;rf_moeda
31/01/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;11249,44;0;BRL
31/01/2018;Saídas;MyCap;Cash;MyCap Conta Invest;130,05;0;BRL
01/02/2018;Entradas;MyCap;Cash;MyCap Conta Invest;0;2393,75;BRL
28/02/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;12000;BRL
28/02/2018;Aplicação;BB PJ;REF DI;Coaching BB Invest;0;2300;BRL
28/02/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;12,36;BRL
28/02/2018;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;3,67;BRL
28/02/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;12252,51;0;BRL
31/03/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;6000;BRL
31/03/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;11,92;BRL
31/03/2018;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;3;BRL
31/03/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;5637,7;0;BRL
31/03/2018;Resgate;BB PJ;REF DI;Coaching BB Invest;850;0;BRL
31/03/2018;Saídas;MyCap;Cash;MyCap Conta Invest;1890,29;0;BRL
30/04/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;6000;BRL
30/04/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;12,11;BRL
30/04/2018;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;3,16;BRL
30/04/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;4566,43;0;BRL
30/04/2018;Resgate;BB PJ;REF DI;Coaching BB Invest;351,61;0;BRL
30/04/2018;Saídas;MyCap;Cash;MyCap Conta Invest;125,13;0;BRL
01/05/2018;Entradas;MyCap;Cash;MyCap Conta Invest;0;115,86;BRL
31/05/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;10000;BRL
31/05/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;18,15;BRL
31/05/2018;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;3,39;BRL
31/05/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;8954,36;0;BRL
31/05/2018;Resgate;BB PJ;REF DI;Coaching BB Invest;849,06;0;BRL
01/06/2018;Entradas;MyCap;Cash;MyCap Conta Invest;0;19240,08;BRL
30/06/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;11000;BRL
30/06/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;17,59;BRL
30/06/2018;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;0,6;BRL
30/06/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;12213,94;0;BRL
30/06/2018;Resgate;BB PJ;REF DI;Coaching BB Invest;167,01;0;BRL
31/07/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;14000;BRL
31/07/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;34,26;BRL
31/07/2018;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;0,26;BRL
31/07/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;7792,61;0;BRL
31/07/2018;Saídas;MyCap;Cash;MyCap Conta Invest;19511,2;0;BRL
01/08/2018;Entradas;MyCap;Cash;MyCap Conta Invest;0;59,5;BRL
31/08/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;5600;BRL
31/08/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;34,52;BRL
31/08/2018;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;0,33;BRL
31/08/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;7475,03;0;BRL
30/09/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;13000;BRL
30/09/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;13,32;BRL
30/09/2018;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;0,04;BRL
30/09/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;19172,76;0;BRL
30/09/2018;Resgate;BB PJ;REF DI;Coaching BB Invest;96,77;0;BRL
30/09/2018;Saídas;MyCap;Cash;MyCap Conta Invest;39,97;0;BRL
31/10/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;11000;BRL
31/10/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;19,51;BRL
31/10/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;9755,02;0;BRL
31/10/2018;Saídas;MyCap;Cash;MyCap Conta Invest;0,39;0;BRL
01/11/2018;Entradas;MyCap;Cash;MyCap Conta Invest;0;285,85;BRL
30/11/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;11900;BRL
30/11/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;31,65;BRL
30/11/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;9597,51;0;BRL
18/12/2018;Entradas;MyCap;Cash;MyCap Conta Invest;0;123303;BRL
20/12/2018;Saídas;MyCap;Cash;MyCap Conta Invest;123303;0;BRL
31/12/2018;Aplicação;BB;REF DI;BB Ref DI Plus Est;0;13000;BRL
31/12/2018;Aplicação;BB PJ;REF DI;Coaching BB Invest;0;2400;BRL
31/12/2018;Rendimentos;BB;REF DI;BB Ref DI Plus Est;0;20,83;BRL
31/12/2018;Rendimentos;BB PJ;REF DI;Coaching BB Invest;0;1,23;BRL
31/12/2018;Resgate;BB;REF DI;BB Ref DI Plus Est;16420,48;0;BRL
31/12/2018;Resgate;BB PJ;REF DI;Coaching BB Invest;621,07;0;BRL
